ALLSKY_SFC_SW_DWN,T2M,TEMP_7DAY_AVG,SOLAR_7DAY_AVG,Performance_Ratio,Actual,Predicted,Anomaly_Probability,Maintenance_Status,Health_Index,Severity_Score,Recommended_Action,Maintenance_Priority,Expected_kWh,Energy_Loss_kWh,Revenue_Loss_INR,Estimated_Performance_Loss_%,Maintenance_Due,Next_Inspection_Window,Fault_Streak,Probable_Root_Cause
4.9615,24.61,20.62714285714286,5.484114285714286,3.829487050287212,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,18.078768475845248,0.0,0.0,0.0,NO,Routine monthly check,0,Normal environmental variation
3.5818,21.63,21.24142857142857,5.261985714285714,5.304595454799263,0,0,0.006666666666666667,HEALTHY,99.33,0.7,System operating normally,LOW,13.43012693308909,0.08998185045169826,0.9,0.67,NO,Routine monthly check,0,Normal environmental variation
3.9506,18.94,21.465714285714284,4.999657142857143,4.05001771882752,0,0,0.0033333333333333335,HEALTHY,99.67,0.3,System operating normally,LOW,15.035921228997623,0.04961854005569144,0.5,0.33,NO,Routine monthly check,0,Normal environmental variation
4.8146,18.56,21.384285714285717,4.890314285714285,4.154031487558675,0,0,0.02666666666666667,HEALTHY,97.33,2.7,System operating normally,LOW,18.076553935669807,0.48264399008238357,4.83,2.67,NO,Routine monthly check,0,Normal environmental variation
5.1072,20.44,21.37714285714286,4.771028571428571,4.30764411027569,0,0,0.0033333333333333335,HEALTHY,99.67,0.3,System operating normally,LOW,19.305430206461356,0.06370791968132039,0.64,0.33,NO,Routine monthly check,0,Normal environmental variation
4.0272,16.83,20.61285714285714,4.535928571428571,3.724672228843862,0,0,0.09666666666666666,HEALTHY,90.33,9.7,System operating normally,LOW,15.209651915619633,1.4707733402404184,14.71,9.67,NO,Routine monthly check,0,Normal environmental variation
4.74,16.8,19.687142857142856,4.4547,3.5864978902953584,0,0,0.006666666666666667,HEALTHY,99.33,0.7,System operating normally,LOW,17.496391153615832,0.11722582072922805,1.17,0.67,NO,Routine monthly check,0,Normal environmental variation
3.1308,17.87,18.724285714285717,4.193171428571429,5.4299220646480135,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,11.978675145007708,0.0,0.0,0.0,NO,Routine monthly check,0,Normal environmental variation
1.8542,16.7,18.020000000000003,3.9463714285714286,4.31452917700356,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,7.153446840094639,0.0,0.0,0.0,NO,Routine monthly check,0,Low irradiance conditions
3.6619,15.01,17.458571428571428,3.905128571428571,2.4577405172178377,1,1,0.9833333333333333,MAINTENANCE REQUIRED,1.67,98.3,Immediate panel cleaning and inspection,HIGH,14.052115649770291,13.817445318419127,138.17,98.33,YES,Within 24 hours,1,Normal environmental variation
2.3772,15.32,16.99571428571429,3.556928571428572,3.3653037186606087,0,0,0.04,HEALTHY,96.0,4.0,System operating normally,LOW,9.154872933893575,0.3661949173557435,3.66,4.0,NO,Routine monthly check,0,Normal environmental variation
3.45,14.58,16.158571428571427,3.320185714285714,4.927536231884058,0,0,0.006666666666666667,HEALTHY,99.33,0.7,System operating normally,LOW,13.454014753994933,0.09014189885176727,0.9,0.67,NO,Routine monthly check,0,Normal environmental variation
3.8124,14.55,15.832857142857142,3.2895000000000003,2.623019620186759,1,1,0.9466666666666667,MAINTENANCE REQUIRED,5.33,94.7,Immediate panel cleaning and inspection,HIGH,13.839449845114586,13.101807168369978,131.02,94.67,YES,Within 24 hours,1,Normal environmental variation
3.7438,14.75,15.54,3.1471857142857145,5.342165713980448,0,0,0.03666666666666667,HEALTHY,96.33,3.7,System operating normally,LOW,13.980107851420364,0.5130699581471276,5.13,3.67,NO,Routine monthly check,0,Normal environmental variation
3.1634,14.98,15.127142857142855,3.1518428571428574,5.057849149649112,0,0,0.0033333333333333335,HEALTHY,99.67,0.3,System operating normally,LOW,11.85255583229861,0.039113434246585754,0.39,0.33,NO,Routine monthly check,0,Normal environmental variation
1.1976,15.59,14.968571428571428,3.058042857142857,12.5250501002004,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,4.856492688276181,0.0,0.0,0.0,NO,Routine monthly check,0,Low irradiance conditions
4.171,17.78,15.364285714285716,3.1307714285714288,0.9590026372572524,1,1,0.9866666666666667,MAINTENANCE REQUIRED,1.33,98.7,Immediate panel cleaning and inspection,HIGH,16.71310150659433,16.490817256556625,164.91,98.67,YES,Within 24 hours,1,Normal environmental variation
3.9991,16.87,15.585714285714284,3.3624714285714283,3.7508439398864746,0,0,0.0033333333333333335,HEALTHY,99.67,0.3,System operating normally,LOW,16.10299896889992,0.05313989659736862,0.53,0.33,NO,Routine monthly check,0,Normal environmental variation
4.6994,15.17,15.67,3.5409571428571427,2.55351747031536,1,1,0.99,MAINTENANCE REQUIRED,1.0,99.0,Immediate panel cleaning and inspection,HIGH,18.821596650125016,18.633380683623766,186.33,99.0,YES,Within 24 hours,1,Normal environmental variation
3.641,16.32,15.922857142857143,3.516471428571428,3.0211480362537766,0,0,0.3566666666666667,HEALTHY,64.33,35.7,System operating normally,LOW,14.576431765297984,5.199413210681792,51.99,35.67,NO,Routine monthly check,0,Normal environmental variation
2.3222,14.12,15.832857142857142,3.3133857142857144,3.445009043148738,0,0,0.17,HEALTHY,83.0,17.0,System operating normally,LOW,9.270813851654873,1.5760383547813293,15.76,17.0,NO,Routine monthly check,0,Normal environmental variation
3.126,13.66,15.644285714285711,3.308042857142857,7.99744081893794,0,0,0.01,HEALTHY,99.0,1.0,System operating normally,LOW,13.158006586461457,0.13158006586461468,1.32,1.0,NO,Routine monthly check,0,Normal environmental variation
3.2964,13.47,15.341428571428567,3.607871428571429,4.247057395947094,0,0,0.0,HEALTHY,100.0,0.0,System operating normally,LOW,14.020680800771567,0.0,0.0,0.0,NO,Routine monthly check,0,Normal environmental variation
2.9933,13.77,14.768571428571429,3.4396285714285715,3.006714996826245,1,1,0.55,INSPECTION ADVISED,45.0,55.0,Schedule preventive maintenance,MEDIUM,12.74291296638907,7.008602131513989,70.09,55.0,YES,Within 7 days,1,Normal environmental variation
